('Real time:', '2022-07-01 08:31:19')
(1666279334.5, 90.04599999999999)
(1666281815.0, 90.00871559633028)
(1666284281.0, 90.08855932203389)
(1666286784.5, 90.03511450381679)
(1666289342.5, 90.03050847457627)
(1666291965.0, 90.07777777777777)
(1666296072.5, 90.07724358974359)
(1666300327.5, 90.04257812499999)
(1666303319.5, 90.02461538461539)
(1666306599.5, 90.04369747899159)
(1666350723.0, 89.84262295081967)
(1666394463.5, 89.73405172413794)
(1666397062.0, 90.0028)
(1666399472.0, 89.94080000000001)
(1666402301.5, 89.98389830508475)
(1666405175.5, 89.9801652892562)
(1666407690.0, 90.02314814814815)
(1666410290.0, 90.03321167883212)
(1666413024.0, 90.00212765957447)
(1666416151.5, 90.02148760330579)
(1666419403.5, 90.02007575757575)
(1666423228.5, 90.0848148148148)
(1666427196.0, 90.130859375)
(1666430688.5, 90.02518248175183)
(1666434395.5, 90.03695652173913)
(1666445461.5, 90.06470588235294)
(1666455981.0, 89.97843137254903)
(1666458579.0, 89.99959349593496)
(1666461083.5, 90.07465277777777)
(1666463620.0, 90.0561224489796)
(1666466145.5, 90.11942446043165)
(1666468621.0, 90.05576923076923)
(1666471120.0, 90.0564)
(1666473843.5, 89.99414414414414)
(1666476674.0, 89.87208333333334)
(1666483799.0, 89.80583333333334)
(1666490765.5, 89.8508695652174)
(1666493215.5, 89.91359649122808)
(1666495675.0, 89.93604651162791)
(1666498126.5, 89.91954887218046)
(1666500636.5, 89.92111111111112)
(1666503197.0, 89.87661290322582)
(1666505783.0, 89.9144)
(1666508444.5, 89.93772727272727)
(1666511224.5, 89.99444444444444)
(1666514153.5, 89.95189393939394)
(1666517195.5, 89.99907407407407)
(1666520376.0, 89.98962962962963)
(1666523681.5, 89.92862903225807)
(1666527107.0, 90.06259842519685)
(1666534872.5, 89.92927927927929)
(1666542267.5, 89.95875000000001)
(1666544883.5, 89.94698275862069)
(1666547381.5, 89.9983108108108)
(1666550447.0, 90.08407079646017)
(1666553679.5, 89.89007352941177)
(1666556396.0, 90.00330578512397)
(1666559000.5, 90.06079136690647)
(1666562121.0, 89.97830882352942)
(1666565504.5, 89.90037037037038)
(1666568605.5, 89.95486725663717)
(1666571714.0, 90.0054794520548)
(1666574985.0, 89.93647540983606)
(1666578393.0, 90.03606557377049)
(1666582063.0, 90.11583333333333)
(1666596686.5, 89.92539682539683)
(1666622958.5, 89.77386363636364)
(1666647436.0, 89.72483660130719)
(1666659661.5, 89.80652173913045)
(1666662240.0, 89.78818897637797)
(1666664739.5, 89.90338983050847)
(1666667242.5, 89.99419642857143)
(1666669752.0, 89.87819548872181)
(1666672265.5, 89.95538461538462)
(1666674831.0, 89.88571428571429)
(1666677487.5, 90.00286885245902)
(1666681112.5, 90.00238095238095)
(1666685126.5, 89.95743801652893)
(1666688459.0, 89.97056451612903)
(1666691775.0, 89.98703703703704)
(1666705213.0, 89.95054347826087)
(1666720549.0, 89.91531531531533)
(1666733975.5, 89.91153846153847)
(1666745199.5, 90.04714285714286)
(1666748061.0, 89.98452380952381)
(1666751087.0, 89.9927927927928)
(1666754289.5, 89.97500000000001)
(1666757407.0, 90.015625)
(1666784743.0, 89.74185185185186)
(1666812031.5, 89.85967741935485)
(1666815074.5, 89.8308943089431)
(1666817982.5, 89.84672897196262)
(1666820628.0, 89.92735849056604)
(1666823325.5, 89.84017094017095)
(1666826022.5, 89.90158730158731)
(1666828692.5, 89.921875)
(1666831389.5, 89.8881679389313)
(1666834170.0, 89.89700854700855)
(1666837516.0, 89.96186440677967)
(1666841048.5, 90.00546218487395)
(1666844329.5, 90.00615384615385)
(1666847710.0, 89.94959677419355)
(1666851220.5, 89.995703125)
(1666854918.0, 90.06428571428572)
(1666858770.5, 90.04365671641791)
(1666862833.5, 90.00787671232877)
(1666872326.0, 89.89375000000001)
(1666881065.0, 89.9787037037037)
(1666883712.5, 89.94504504504505)
(1666886337.5, 89.99922480620155)
(1666889001.5, 89.91782608695652)
(1666891660.0, 89.955078125)
(1666899171.5, 89.92045454545455)
(1666906611.0, 89.95840336134454)
(1666909130.5, 90.03965517241379)
(1666911674.5, 90.01280991735537)
(1666914214.5, 90.0603448275862)
(1666916768.0, 90.01822033898306)
(1666919346.5, 90.06021897810218)
(1666921945.5, 90.01964285714286)
(1666924599.5, 90.06393442622951)
(1666927525.5, 89.9732283464567)
(1666930605.0, 89.9171052631579)
(1666933660.0, 89.91803278688525)
(1666936858.0, 89.97941176470589)
(1666940223.0, 89.9995575221239)
(1666943770.0, 90.03539823008849)
(1666947540.5, 89.9362385321101)
(1666956627.5, 89.86914893617022)
(1666965299.5, 89.8029411764706)
(1666968144.0, 89.97326732673268)
(1666970892.5, 89.990625)
(1666980892.5, 89.94590163934427)
(1666990775.0, 89.897265625)
(1666993339.5, 89.86214285714287)
(1666995858.5, 89.92083333333333)
(1666998405.0, 89.91338582677166)
(1667000972.0, 90.00125)
(1667003521.0, 89.97288732394367)
(1667006088.5, 89.93717948717949)
(1667015830.5, 89.93346774193549)
(1667025531.5, 89.88526785714286)
(1667028069.5, 89.83076923076923)
(1667030656.5, 89.93297101449275)
(1667033238.5, 89.93151260504202)
(1667035757.5, 89.88149606299213)
(1667038419.5, 89.94128787878788)
(1667041109.5, 89.86879699248121)
(1667043681.5, 89.94615384615385)
(1667046318.0, 89.98318965517241)
(1667049061.5, 90.01034482758621)
(1667051918.5, 90.00739130434782)
(1667054935.5, 89.97424242424242)
(1667058069.0, 90.03045112781955)
(1667061322.5, 89.99173913043478)
(1667064774.5, 89.89765625000001)
(1667068430.0, 89.98444444444445)
(1667072311.0, 90.01339285714286)
(1667081023.5, 89.87786259541986)
(1667089011.5, 89.90696721311475)
(1667091559.0, 89.90241935483871)
(1667094084.5, 89.94375000000001)
(1667096675.5, 89.8475806451613)
(1667099736.0, 89.99866071428572)
(1667102860.5, 89.87459016393443)
(1667105566.0, 89.9780701754386)
(1667108229.5, 89.98565573770492)
(1667118069.5, 89.95242718446602)
(1667127854.5, 89.98375)
(1667156671.0, 89.93317757009346)
(1667187938.5, 89.92706766917294)
(1667192990.0, 89.82596899224808)
(1667195604.0, 89.96546391752578)
(1667198196.0, 89.9988)
(1667201102.0, 89.98630136986301)
(1667204185.0, 89.95714285714286)
(1667222146.0, 89.87290076335879)
(1667239949.5, 89.9288617886179)
(1667242550.0, 89.94269230769231)
(1667245156.5, 89.8408695652174)
(1667262500.0, 89.82218045112783)
(1667279828.5, 89.86101694915256)
(1667282386.5, 89.8423076923077)
(1667284936.0, 89.87307692307694)
(1667287513.5, 89.97213114754099)
(1667290140.0, 89.9342105263158)
(1667292777.5, 89.9992125984252)
(1667295361.0, 89.95353982300885)
(1667297985.5, 90.0095041322314)
(1667300732.5, 90.05234374999999)
(1667303611.0, 89.97685950413224)
(1667306676.0, 89.97254098360656)
(1667309834.0, 90.04389312977099)
(1667319088.0, 90.01410256410256)
(1667328070.5, 89.83925619834712)
(1667330679.0, 89.85900900900901)
(1667333274.0, 89.93577235772358)
(1667335859.0, 89.9349593495935)
(1667338448.5, 89.94318181818183)
(1667341057.0, 89.94612403100776)
(1667343669.0, 90.00335820895522)
(1667346297.0, 89.94203539823009)
(1667348988.0, 89.96818181818182)
(1667351766.5, 90.04172932330827)
(1667354653.5, 89.99717741935484)
(1667357690.5, 89.988)
(1667360901.5, 90.00658914728682)
(1667364285.0, 90.07654867256636)
(1667367862.0, 90.09363636363636)
(1667371707.0, 90.11861313868613)
(1667375933.0, 90.08146853146853)
(1667384602.0, 89.9426724137931)
(1667392550.5, 89.94292452830189)
(1667395403.0, 89.92403100775194)
(1667398070.5, 89.93256880733945)
(1667400700.0, 90.01016949152542)
(1667403320.0, 89.98516949152543)
(1667405915.0, 90.0478102189781)
(1667408504.0, 89.9983193277311)
(1667411124.5, 90.08943089430893)
(1667413811.5, 89.97310606060606)
(1667416589.5, 89.9916)
(1667419456.0, 90.02298387096774)
(1667422469.5, 89.97037037037038)
(1667425655.5, 90.08018018018018)
(1667429025.5, 90.01333333333334)
(1667437011.0, 89.9734693877551)
(1667444549.5, 89.94739130434783)
(1667447167.0, 89.98875968992247)
(1667449771.5, 89.97162162162162)
(1667452373.0, 89.99172413793103)
(1667455017.0, 89.93859649122807)
(1667457686.5, 90.00116279069768)
(1667460392.5, 90.01013513513513)
(1667463160.0, 90.00354838709677)
(1667466057.5, 90.01955128205128)
(1667487907.0, 90.02412280701755)
(1667509721.5, 89.8329268292683)
(1667512504.0, 89.8842105263158)
(1667515135.0, 89.98529411764706)
(1667517760.0, 89.9560606060606)
(1667520400.0, 89.92708333333334)
(1667523050.0, 90.03615384615384)
(1667525707.0, 89.98333333333333)
(1667528470.5, 89.9488)
(1667531334.0, 89.98451327433628)
(1667534263.0, 90.02128378378379)
(1667537357.0, 90.03928571428571)
(1667540629.0, 90.04924242424242)
(1667571601.5, 89.89473684210527)
(1667602218.5, 89.905)
(1667604877.5, 89.86458333333334)
(1667607517.0, 90.0150406504065)
(1667610179.0, 89.94791666666667)
(1667613236.0, 90.175)
(1667616332.5, 90.21375)
(1667627815.5, 90.1162962962963)
(1667639293.5, 90.0921875)
(1667642026.5, 90.07931034482758)
(1667644752.5, 90.15864661654135)
(1667647509.0, 90.11022727272727)
(1667650214.0, 90.17786885245901)
(1667652947.5, 90.18595041322314)
(1667655749.0, 90.1904)
(1667658810.0, 90.15384615384615)
(1667662046.0, 90.13911290322581)
(1667665334.5, 90.15368852459017)
(1667954249.5, 89.78920000000001)
(1668243129.0, 89.64583333333333)
(1668246510.5, 89.76452991452992)
(1668249997.0, 89.87884615384615)
(1668253679.0, 89.89153225806452)
(1668257614.5, 89.91551724137932)
(1668261824.0, 89.946875)
(1668270765.0, 89.93333333333334)
(1668278825.5, 89.89720279720281)
(1668281435.5, 89.82983193277312)
(1668284063.5, 89.84640287769786)
(1668286665.5, 89.83849206349207)
(1668289248.5, 89.87674418604652)
(1668291812.0, 89.8782786885246)
(1668294361.5, 89.96714285714286)
(1668296969.0, 89.95040650406504)
(1668299724.0, 89.95491803278689)
(1668302597.0, 90.00576923076923)
(1668305574.5, 89.94370078740158)
(1668308724.0, 89.88893805309735)
(1668312023.0, 90.0921875)
(1668315474.0, 90.09189189189189)
(1668319097.0, 90.0491452991453)
(1668322914.0, 90.1301652892562)
(1668326981.5, 90.1544776119403)
(1668340185.0, 89.93527131782946)
(1668352652.0, 89.9326530612245)
(1668355856.5, 90.00347826086957)
(1668399727.0, 89.88760683760684)
(1668443211.0, 89.81607142857143)
(1668446286.0, 89.88571428571429)
(1668449330.0, 89.79847328244276)
(1668452072.5, 89.91666666666667)
(1668454717.5, 89.82000000000001)
(1668457488.5, 89.89921875)
(1668460297.0, 89.8656)
(1668463661.0, 89.9)
(1668467122.5, 89.90494505494506)
(1668470093.0, 89.97863247863248)
(1668473211.0, 89.8409090909091)
(1668476502.0, 89.896)
(1668479989.0, 89.93608695652175)
(1668483634.0, 89.94452554744525)
(1668487428.0, 90.04672897196261)
(1668502763.5, 89.91301369863014)
(1668517547.5, 89.98608695652175)
(1668520265.5, 89.9610655737705)
(1668522885.5, 89.91782945736435)
(1668525540.5, 89.96059322033898)
(1668528252.5, 90.08732394366197)
(1668531042.5, 90.00880281690141)
(1668534008.0, 89.97961538461539)
(1668537088.0, 89.95560747663552)
(1668540312.0, 89.94075630252101)
(1668543763.5, 90.02619047619048)
(1668547392.0, 90.08504273504273)
(1668556323.0, 89.95112781954887)
(1668564878.0, 90.00569105691056)
(1668567798.0, 89.87791666666668)
(1668570654.0, 89.96596638655463)
(1668573389.0, 90.05757575757575)
(1668576015.0, 90.02403100775193)
(1668578604.0, 89.99117647058823)
(1668581238.0, 89.98407079646017)
(1668583939.0, 90.01285714285714)
(1668586737.0, 90.03504273504274)
