#Data tag : 24v1 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
359604:8212,09/30/22 08:05:26,20,10,0.001946734,0.000894266
359605:8212,09/30/22 08:13:01,22,18,0.002099178,0.001362380
359606:8212,09/30/22 08:21:31,9,3,0.000861541,0
359607:8212,09/30/22 08:24:49,50,50,0.004798009,0.004652447
359608:8212,09/30/22 09:21:02,95,95,0.008054289,0.007879709
359609:8212,09/30/22 10:00:32,32,25,0.002614448,0.001672407
359610:8212,09/30/22 10:12:56,30,21,0.002414286,0.000221392
359611:8212,09/30/22 10:24:14,20,2,0.001573017,0.000018031
359612:8212,09/30/22 10:31:57,24,12,0.001888800,0.000759440
359614:8212,09/30/22 10:40:56,5,5,0.000390661,0.000390311
359661:8214,09/30/22 16:54:06,83,83,0.009771216,0.009254340
359681:8216,09/30/22 22:47:14,3,0,0.000359921,0
359682:8216,09/30/22 22:48:12,14,2,0.001667868,0.000002193
359683:8216,09/30/22 22:53:32,21,17,0.002708512,0.000120008
359684:8216,09/30/22 23:01:34,166,159,0.028286871,0.026857914
359685:8216,10/01/22 00:05:59,170,141,0.026738746,0.020881736
359686:8216,10/01/22 01:11:45,942,942,0.114490793,0.113620681
359691:8220,10/01/22 12:46:03,222,149,0.069874735,0.036863956
359693:8220,10/01/22 14:12:09,622,614,0.172534159,0.162174475
359694:8220,10/01/22 18:13:37,1093,1093,0.221400030,0.216175284
359699:8221,10/02/22 04:39:03,1969,1969,0.439803279,0.426055290
359717:8222,10/02/22 20:37:50,347,341,0.132581506,0.124578243
359718:8222,10/02/22 22:52:32,373,373,0.127875926,0.122437334
359750:8223,10/03/22 13:37:49,199,193,0.076263351,0.060309912
359751:8223,10/03/22 14:54:53,1013,1013,0.322946665,0.309591251
359762:8225,10/04/22 01:14:27,242,237,0.090298598,0.084045159
359763:8225,10/04/22 02:48:18,481,474,0.163315087,0.154701086
359764:8225,10/04/22 05:54:57,1124,1124,0.273165014,0.263387851
359776:8226,10/04/22 15:35:02,335,335,0.000214888,0.000212878
359806:8228,10/05/22 00:41:41,393,371,0.158971857,0.143369172
359808:8228,10/05/22 03:14:08,49,46,0.018857445,0.016455101
359809:8228,10/05/22 03:32:58,47,44,0.017687476,0.015329860
359810:8228,10/05/22 03:51:08,201,184,0.071341436,0.062054692
359812:8228,10/05/22 05:09:00,244,228,0.079046293,0.070242996
359813:8228,10/05/22 06:43:40,15,6,0.004593580,0.000000244
359814:8228,10/05/22 06:49:10,383,383,0.104234975,0.100484772
359868:8230,10/05/22 20:53:52,16,8,0.005611409,0.000694620
359869:8230,10/05/22 20:59:48,17,10,0.006424158,0.000000363
359870:8230,10/05/22 21:06:14,20,13,0.008311596,0.003016274
359871:8230,10/05/22 21:13:55,277,243,0.103901065,0.097958073
359887:8232,10/06/22 07:07:33,487,487,0.000318457,0.000316240
359899:8233,10/06/22 12:24:34,297,289,0.008558410,0.007739241
359901:8233,10/06/22 14:19:42,22,7,0.000587172,0.000000023
359903:8233,10/06/22 14:28:03,41,31,0.001073995,0.000419071
359904:8233,10/06/22 14:43:43,24,16,0.000620394,0.000000021
359905:8233,10/06/22 14:53:02,20,6,0.000515155,0.000036364
359998:8236,10/07/22 18:17:45,1907,1907,0.598645305,0.576657109
360017:8238,10/08/22 13:21:01,65,53,0.016445595,0.012992252
360018:8238,10/08/22 13:46:06,20,12,0.006026756,0.003201157
360019:8238,10/08/22 13:53:37,1513,1513,0.482604449,0.465863600
360075:8245,10/09/22 22:40:46,856,794,0.345160535,0.308738805
360088:8245,10/10/22 04:13:18,328,314,0.106970076,0.098964661
360090:8245,10/10/22 06:20:43,804,804,0.206920433,0.200044001
360116:8247,10/10/22 15:52:55,433,407,0.173613466,0.152198865
360121:8247,10/10/22 18:41:07,12,4,0.005136813,0.000000116
360122:8247,10/10/22 18:45:29,6,3,0.002596330,0.000232325
360123:8247,10/10/22 18:47:48,6,2,0.002585428,0.000073918
360124:8247,10/10/22 18:49:51,8,1,0.003433738,0.000140911
360125:8247,10/10/22 18:52:44,331,324,0.130383790,0.121156905
360126:8247,10/10/22 21:01:15,375,370,0.126647876,0.119669561
360127:8247,10/10/22 23:26:55,205,201,0.061091040,0.057739014
360128:8247,10/11/22 00:46:22,180,172,0.049988880,0.044027649
360129:8247,10/11/22 01:56:02,56,50,0.014948562,0.000000350
360130:8247,10/11/22 02:17:44,99,91,0.025645541,0.022414012
360131:8247,10/11/22 02:56:13,390,390,0.089937746,0.087370717
360141:8248,10/11/22 07:31:12,759,759,0.304319847,0.290185225
360224:8253,10/12/22 03:08:06,243,227,0.094501081,0.080865189
360225:8253,10/12/22 04:42:17,369,369,0.150648857,0.140058708
360295:8260,10/13/22 04:44:16,1450,1443,0.543644807,0.517464588
360296:8260,10/13/22 14:07:36,533,533,0.137738076,0.133030368
360327:8263,10/14/22 02:25:36,357,357,0.138739035,0.132317078
360390:8267,10/14/22 22:28:53,85,82,0.033031108,0.029494876
360391:8267,10/14/22 23:01:37,23,13,0.009820502,0.001747865
360392:8267,10/14/22 23:10:16,68,65,0.028358006,0.024097497
360393:8267,10/14/22 23:36:29,157,157,0.052177632,0.048985637
360400:8269,10/15/22 04:46:53,87,87,0.025536614,0.024300205
360413:8272,10/15/22 11:29:51,110,101,0.040654416,0.036273395
360414:8272,10/15/22 12:12:36,6,6,0,0
360428:8273,10/15/22 15:02:15,85,82,0.033825294,0.028136070
360429:8273,10/15/22 15:35:04,11,4,0.004452143,0
360430:8273,10/15/22 15:39:11,37,20,0.015804064,0.000000145
360432:8273,10/15/22 15:53:32,39,32,0.016472576,0.011368437
360433:8273,10/15/22 16:08:37,8,4,0.003333469,0.000000033
360434:8273,10/15/22 16:11:33,11,4,0.004550515,0
360435:8273,10/15/22 16:15:34,78,60,0.032464880,0.019788625
360437:8273,10/15/22 16:45:40,51,44,0.021488424,0.016295282
360438:8273,10/15/22 17:05:14,77,61,0.031782709,0.019292393
360439:8273,10/15/22 17:34:51,21,15,0.008651051,0.005588137
360440:8273,10/15/22 17:42:46,12,6,0.005170550,0.002098154
360441:8273,10/15/22 17:47:09,152,145,0.064182402,0.058497827
360442:8273,10/15/22 18:46:07,141,102,0.056461777,0.039600697
360444:8273,10/15/22 19:40:40,9,3,0.000434055,0.000000015
360445:8273,10/15/22 19:44:00,12,12,0,0
360458:8274,10/15/22 22:23:50,215,207,0.080851963,0.070338042
360459:8274,10/15/22 23:47:03,1344,1339,0.477955079,0.455253096
360460:8274,10/16/22 08:28:58,1088,1088,0.240867320,0.233062735
360486:8276,10/16/22 19:00:52,451,433,0.185330699,0.160048274
360490:8276,10/16/22 21:56:06,1203,1199,0.389589110,0.370978468
360491:8276,10/17/22 05:43:11,191,191,0.043226577,0.041331261
360737:8289,10/19/22 12:34:59,25,25,0.000980651,0.000925137
360761:8293,10/19/22 17:02:11,164,164,0.009319078,0.009128266
360794:8295,10/20/22 01:56:45,691,684,0.284504098,0.266350235
360795:8295,10/20/22 06:25:12,416,412,0.155536697,0.147623043
360796:8295,10/20/22 09:06:44,561,556,0.168493627,0.160548789
360797:8295,10/20/22 12:44:41,17,17,0.002895755,0.002523479
360819:8297,10/20/22 15:45:03,11,3,0.004119985,0
360820:8297,10/20/22 15:48:59,899,892,0.368796106,0.345405598
360821:8297,10/20/22 21:38:13,103,9,0.037502292,0.000000089
360825:8297,10/20/22 22:18:00,366,359,0.121334171,0.113198388
360826:8297,10/21/22 00:40:05,132,132,0.035868394,0.033771484
360856:8299,10/21/22 13:12:32,62,62,0.003213057,0.003116978
360874:8301,10/21/22 18:53:37,61,54,0.003678855,0.003071563
360875:8301,10/21/22 19:17:17,39,32,0.002523893,0.001961081
360876:8301,10/21/22 19:32:24,414,347,0.024917702,0.021002543
360887:8302,10/22/22 00:36:46,134,125,0.050745700,0.043269223
360888:8302,10/22/22 01:28:39,305,297,0.134581457,0.121785638
360889:8302,10/22/22 03:26:51,43,36,0.018818778,0.008549121
360890:8302,10/22/22 03:43:25,540,519,0.209038760,0.192971598
360892:8302,10/22/22 07:12:51,311,307,0.100433429,0.095479296
360893:8302,10/22/22 09:13:39,34,16,0.010276747,0.004415126
360894:8302,10/22/22 09:26:51,20,13,0.005973533,0.003467611
360895:8302,10/22/22 09:34:19,709,705,0.182137549,0.176019620
360919:8304,10/22/22 18:01:25,803,800,0.339959112,0.320972303
360920:8304,10/22/22 23:13:18,11,4,0.004382651,0.001361331
360921:8304,10/22/22 23:17:35,220,220,0.082272680,0.078626577
360927:8305,10/23/22 03:06:25,1908,1897,0.688471585,0.654898850
360940:8306,10/23/22 17:35:40,13,5,0.002685082,0.000340025
360941:8306,10/23/22 17:40:28,87,76,0.032830700,0.024774096
360942:8306,10/23/22 18:14:08,391,348,0.168455254,0.140452727
360945:8306,10/23/22 20:45:57,108,99,0.046436919,0.038036875
360946:8306,10/23/22 21:27:46,398,369,0.160144593,0.140659414
360948:8306,10/24/22 00:02:16,133,123,0.047735851,0.041288591
360950:8306,10/24/22 00:53:44,730,718,0.220912394,0.209145437
360951:8306,10/24/22 05:37:03,195,195,0.046765084,0.044827438
360991:8307,10/24/22 12:23:17,245,238,0.029105415,0.027148329
360992:8307,10/24/22 13:58:16,107,107,0.011058355,0.010788356
361020:8309,10/24/22 19:05:01,409,404,0.027561959,0.025771749
361032:8309,10/24/22 21:43:40,11,11,0.000717941,0.000717453
361044:8311,10/25/22 02:03:13,134,127,0.052138544,0.046105727
361045:8311,10/25/22 02:55:10,1004,956,0.414860318,0.375170229
361050:8311,10/25/22 09:24:54,25,10,0.008681208,0.003135028
361052:8311,10/25/22 09:34:36,74,65,0.024695073,0.020606209
361053:8311,10/25/22 10:03:04,10,2,0.003231943,0.000060591
361054:8311,10/25/22 10:06:43,500,476,0.146806472,0.130666991
361059:8311,10/25/22 13:20:56,122,122,0.031619096,0.030647358
361083:8312,10/25/22 16:24:28,62,62,0.007839481,0.007370917
361091:8313,10/25/22 18:39:55,405,405,0.054054085,0.052165771
361105:8314,10/26/22 01:35:04,428,422,0.155035136,0.144778372
361106:8314,10/26/22 04:21:10,37,31,0.013489916,0.010532712
361107:8314,10/26/22 04:35:30,162,156,0.060076978,0.054759989
361108:8314,10/26/22 05:38:10,15,7,0.005579821,0.002061992
361110:8314,10/26/22 05:43:42,203,203,0.070761002,0.066391740
361188:8315,10/26/22 20:31:01,146,143,0.062763000,0.054763348
361193:8315,10/26/22 21:27:43,36,29,0.015457829,0.010965603
361195:8315,10/26/22 21:41:33,29,25,0.012584651,0.008013879
361196:8315,10/26/22 21:52:28,16,9,0.006833220,0.000013953
361197:8315,10/26/22 21:58:35,2216,2177,0.752943190,0.677743880
361198:8315,10/27/22 12:19:20,55,55,0.009845850,0.009538958
361223:8316,10/27/22 15:21:29,702,702,0.295131217,0.270918721
361239:8317,10/27/22 22:29:16,1065,1058,0.445548485,0.421144922
361240:8317,10/28/22 05:22:51,1028,1028,0.303347938,0.292035716
361271:8319,10/28/22 14:53:41,16,8,0.003708621,0.000542378
361272:8319,10/28/22 14:59:35,148,131,0.061947570,0.050010596
361280:8319,10/28/22 15:56:59,281,272,0.121411059,0.109621883
361283:8319,10/28/22 17:46:07,40,31,0.017236850,0.010720675
361284:8319,10/28/22 18:01:19,43,43,0.015606248,0.014911744
361297:8320,10/28/22 22:08:38,953,947,0.397181225,0.376704910
361303:8321,10/29/22 08:02:54,2249,2249,0.803643100,0.765083325
361318:8322,10/30/22 01:23:31,465,459,0.199428404,0.187189122
361319:8322,10/30/22 03:23:53,204,198,0.089536472,0.068567060
361320:8322,10/30/22 04:42:46,396,396,0.154263457,0.147756735
361333:8324,10/30/22 11:05:36,315,315,0.126187548,0.120313787
361361:8327,10/31/22 03:35:12,55,48,0.021950576,0.015316403
361362:8327,10/31/22 03:56:28,36,31,0.009723557,0.006330990
361363:8327,10/31/22 04:10:21,34,27,0.014101792,0.007933130
361364:8327,10/31/22 04:23:21,167,160,0.072129067,0.064180933
361365:8327,10/31/22 05:28:09,496,489,0.215913260,0.191586282
361366:8327,10/31/22 08:40:31,206,206,0.079873909,0.074990057
361400:8330,10/31/22 18:19:43,458,458,0.192668032,0.182796101
361417:8331,11/01/22 05:23:57,1644,1644,0.637246240,0.609546752
361443:8333,11/01/22 19:10:45,2282,2282,0.805067288,0.772530526
361468:8334,11/02/22 12:34:23,1899,1899,0.736141159,0.697386962
361475:8335,11/03/22 03:17:05,1241,1241,0.506800477,0.483103896
361512:8342,11/03/22 21:41:49,1549,1549,0.603970626,0.578500064
361569:8345,11/04/22 22:57:13,596,571,0.250503445,0.226663651
361573:8345,11/05/22 02:48:33,319,319,0.127506069,0.121532869
361579:8347,11/05/22 09:30:59,881,873,0.368157199,0.342761319
361580:8347,11/05/22 15:13:00,427,427,0.147807801,0.141479781
361881:8379,11/10/22 01:05:53,20,9,0.000002767,0.000001114
361882:8379,11/10/22 01:13:17,24,11,0.000003324,0.000001314
361883:8379,11/10/22 01:22:30,103,100,0.000014248,0.000013630
361884:8379,11/10/22 02:02:22,57,50,0.000007893,0.000006788
361885:8379,11/10/22 02:24:26,353,339,0.000049288,0.000047082
361886:8379,11/10/22 04:41:29,524,516,0.000058231,0.000056142
361887:8379,11/10/22 08:04:56,403,393,0.000058470,0.000056563
361889:8379,11/10/22 10:41:12,19,12,0.000002781,0.000000750
361890:8379,11/10/22 10:48:23,495,483,0.000073345,0.000071057
361893:8379,11/10/22 14:00:38,586,586,0.000088634,0.000087756
361906:8381,11/10/22 20:32:01,28,4,0.000011487,0.000000805
361909:8381,11/10/22 20:42:49,8,5,0.000003285,0.000001716
361910:8381,11/10/22 20:45:36,69,60,0.000028256,0.000024088
361912:8381,11/10/22 21:12:04,107,100,0.000044073,0.000039895
361913:8381,11/10/22 21:53:32,1554,1527,0.000548235,0.000525166
361915:8381,11/11/22 07:57:13,89,81,0.000023087,0.000019173
361916:8381,11/11/22 08:31:36,73,63,0.000015809,0
361917:8381,11/11/22 08:59:37,294,282,0.000061348,0.000055014
361919:8381,11/11/22 10:53:37,564,551,0.000141275,0.000133842
361921:8381,11/11/22 14:32:35,50,44,0.000021772,0.000018650
361922:8381,11/11/22 14:52:00,229,222,0.000099993,0.000095511
361923:8381,11/11/22 16:20:38,78,64,0.000034016,0.000027232
361925:8381,11/11/22 16:50:48,63,56,0.000027412,0.000023652
361926:8381,11/11/22 17:15:17,11,3,0.000004793,0.000000125
361927:8381,11/11/22 17:19:17,122,102,0.000052873,0.000043423
361929:8381,11/11/22 18:06:20,139,132,0.000060084,0.000055483
361932:8381,11/11/22 19:00:00,32,26,0.000013826,0.000011052
361933:8381,11/11/22 19:12:14,128,128,0.000055151,0.000053861
361948:8383,11/11/22 23:07:11,354,354,0.030382614,0.029500367
361953:8385,11/12/22 04:06:55,46,39,0.013936962,0.010095114
361954:8385,11/12/22 04:24:39,198,190,0.057111183,0.053258886
361955:8385,11/12/22 05:41:18,299,287,0.043029164,0.035668274
361956:8385,11/12/22 07:37:06,149,146,0.047256228,0.044382601
361957:8385,11/12/22 08:34:53,1171,1171,0.334944594,0.324977848
361971:8387,11/12/22 18:50:51,2361,2361,0.842746114,0.807935806
361989:8389,11/13/22 15:15:54,122,117,0.047216856,0.042285116
361990:8389,11/13/22 16:03:08,219,210,0.094443496,0.084157638
361992:8389,11/13/22 17:27:58,15,8,0.006715044,0.000001292
361993:8389,11/13/22 17:33:48,15,5,0.006666063,0.000000407
361994:8389,11/13/22 17:39:23,128,128,0.050484509,0.047540054
362009:8392,11/14/22 09:33:53,38,38,0.005637811,0.004982393
362058:8395,11/14/22 17:00:10,179,173,0.070553117,0.062206924
362059:8395,11/14/22 18:09:39,77,67,0.033004648,0.025344263
362060:8395,11/14/22 18:39:17,96,89,0.041776378,0.035696028
362061:8395,11/14/22 19:16:14,321,314,0.138853323,0.127733370
362062:8395,11/14/22 21:20:50,221,214,0.094264169,0.085308205
362063:8395,11/14/22 22:46:25,137,110,0.053989181,0.035381349
362064:8395,11/14/22 23:39:31,1081,1081,0.326284103,0.314702100
362085:8398,11/15/22 12:02:19,168,158,0.073699965,0.058414697
362087:8398,11/15/22 13:07:32,155,147,0.068351383,0.060705280
362091:8398,11/15/22 14:07:33,1425,1425,0.520175215,0.496253696
362104:8399,11/16/22 02:17:03,130,122,0.049258811,0.041753410
362105:8399,11/16/22 03:07:18,191,184,0.081779957,0.073508935
362106:8399,11/16/22 04:21:10,87,83,0.037309443,0.032470903
362107:8399,11/16/22 04:54:57,799,799,0.329914866,0.314175267
362148:8401,11/16/22 14:18:07,734,722,0.309143014,0.289290533
362152:8401,11/16/22 19:03:13,7,3,0.003110578,0.000191833
362153:8401,11/16/22 19:05:40,152,144,0.066008101,0.057346035
362154:8401,11/16/22 20:04:32,791,791,0.277973482,0.266314035
362159:8402,11/17/22 03:21:39,31,13,0.008714700,0.002171795
362160:8402,11/17/22 03:33:39,9,2,0.003697237,0.000543352
362161:8402,11/17/22 03:36:51,131,124,0.055876695,0.049140482
362163:8402,11/17/22 04:27:43,71,65,0.030537177,0.026361137
362166:8402,11/17/22 04:55:09,344,337,0.148629993,0.137507284
362167:8402,11/17/22 07:08:33,653,653,0.268673719,0.257491712
362433:8456,11/21/22 12:32:34,18,15,0.007881180,0.003472802
362434:8456,11/21/22 12:39:27,10,2,0.004684700,0
362435:8456,11/21/22 12:43:07,26,11,0.013052471,0.001232271
362437:8456,11/21/22 12:53:12,96,93,0.044757576,0.036643018
362438:8456,11/21/22 13:30:09,93,89,0.036982111,0.033126943
362439:8456,11/21/22 14:05:58,1608,1608,0.648711669,0.604714006
362596:8471,11/23/22 21:59:10,45,37,0.015715490,0.009640048
362597:8471,11/23/22 22:16:30,141,141,0.059889388,0.057776057
362613:8474,11/24/22 07:31:28,24,0,0.006955528,0
362614:8474,11/24/22 07:40:41,162,153,0.073539719,0.064278332
362615:8474,11/24/22 08:43:24,161,153,0.077351839,0.067454748
362616:8474,11/24/22 09:45:49,365,358,0.176354086,0.158445146
362617:8474,11/24/22 12:07:16,251,244,0.116910705,0.107721529
362618:8474,11/24/22 13:44:46,282,282,0.110904041,0.102173001
362643:8479,11/24/22 21:53:39,337,337,0.000156423,0.000154240
362653:8484,11/25/22 08:52:25,277,268,0.112605750,0.102628157
362654:8484,11/25/22 10:39:59,53,26,0.023423588,0.010606216
362655:8484,11/25/22 11:00:15,374,356,0.165849594,0.142755843
362656:8484,11/25/22 13:25:27,19,11,0.008192749,0.000000049
362657:8484,11/25/22 13:32:35,214,214,0.083885850,0.080582275
362695:8489,11/26/22 01:41:11,338,335,0.138160953,0.128908922
362696:8489,11/26/22 03:52:11,1731,1724,0.615038298,0.586285610
362697:8489,11/26/22 15:04:33,15,6,0.003726322,0.000013101
362698:8489,11/26/22 15:10:14,383,383,0.085280647,0.082220136
362720:8491,11/26/22 23:58:15,908,905,0.376684926,0.355942781
362721:8491,11/27/22 05:50:57,10,4,0.004294075,0.000000201
362722:8491,11/27/22 05:54:28,9,3,0.003819415,0
362723:8491,11/27/22 05:57:55,13,7,0.005466740,0.000000003
362724:8491,11/27/22 06:02:57,7,2,0.002922430,0
362725:8491,11/27/22 06:05:36,11,3,0.004573642,0
362726:8491,11/27/22 06:09:37,14,7,0.005804437,0.000000246
362727:8491,11/27/22 06:15:01,17,8,0.006953026,0.001680456
362728:8491,11/27/22 06:21:34,393,393,0.152374728,0.144815412
362757:8496,11/27/22 23:14:23,74,68,0.026170490,0.019756246
362758:8496,11/27/22 23:43:07,224,215,0.095284312,0.086640889
362759:8496,11/28/22 01:10:06,16,7,0.006701846,0.002666449
362760:8496,11/28/22 01:16:05,733,733,0.297411087,0.282423201
365753:8540,04/06/23 09:39:32,92,88,0.000000018,0.000000017
365754:8540,04/06/23 10:14:59,63,57,0.000000012,0.000000011
365755:8540,04/06/23 10:39:26,48,44,0.000000009,0.000000008
365756:8540,04/06/23 10:57:56,43,40,0.000000008,0.000000007
365757:8540,04/06/23 11:14:26,48,48,0.000000008,0.000000008
365763:8541,04/06/23 12:51:40,12,0,0.000000003,0
365765:8541,04/06/23 12:56:03,238,236,0.000001205,0.000001460
365775:8542,04/06/23 17:05:24,306,306,0.000000048,0.000000047
365833:8550,04/07/23 15:13:49,8,0,0.000000008,0
365834:8550,04/07/23 15:16:36,46,38,0.000000043,0.000000034
365835:8550,04/07/23 15:34:08,42,35,0.000000036,0.000000030
365836:8550,04/07/23 15:50:14,43,37,0.000000035,0.000000029
365837:8550,04/07/23 16:06:55,45,38,0.000000034,0.000000028
365838:8550,04/07/23 16:24:06,43,37,0.000000030,0.000000025
365839:8550,04/07/23 16:40:42,45,39,0.000000031,0.000000026
365840:8550,04/07/23 16:57:56,46,39,0.000000029,0.000000024
365841:8550,04/07/23 17:15:28,52,44,0.000000031,0.000000026
365842:8550,04/07/23 17:35:23,55,48,0.000000030,0.000000026
365843:8550,04/07/23 17:56:41,378,361,0.000000166,0.000000146
365844:8550,04/07/23 20:23:22,752,752,0.000000207,0.000000204
365874:8558,04/09/23 09:00:33,9,0,0.000000008,0
365876:8558,04/09/23 09:04:03,146,146,0.000000111,0.000000109
365880:8559,04/09/23 11:10:10,10,0,0.000000008,0
365881:8559,04/09/23 11:13:54,13,6,0.000000011,0
365882:8559,04/09/23 11:18:53,635,623,0.000000310,0.000000300
365883:8559,04/09/23 15:25:32,14,6,0.000000004,0
365884:8559,04/09/23 15:30:54,51,16,0.000000015,0
365888:8559,04/09/23 15:50:25,18,11,0.000000005,0.000000002
365889:8559,04/09/23 15:57:23,159,159,0.000000042,0.000000042
366403:8637,04/21/23 18:58:03,144,137,0.000029847,0.000027333
366406:8637,04/21/23 19:53:39,34,28,0.000009231,0.000007248
366409:8637,04/21/23 20:06:31,35,28,0.000009509,0.000007184
366410:8637,04/21/23 20:19:48,30,23,0.000008189,0.000005980
366413:8637,04/21/23 20:31:08,56,24,0.000015098,0.000006222
366419:8637,04/21/23 20:52:44,31,25,0.000008659,0.000006572
366422:8637,04/21/23 21:04:35,30,24,0.000008285,0.000006198
366424:8637,04/21/23 21:15:58,29,23,0.000008145,0.000006192
366426:8637,04/21/23 21:27:14,31,24,0.000008771,0.000006632
366427:8637,04/21/23 21:39:09,29,22,0.000008054,0.000005681
366429:8637,04/21/23 21:50:07,38,31,0.000010752,0.000008519
366432:8637,04/21/23 22:04:41,31,25,0.000008676,0.000006643
366433:8637,04/21/23 22:16:40,8,2,0.000002232,0
366434:8637,04/21/23 22:19:37,5,2,0.000001385,0.000000100
366436:8637,04/21/23 22:21:33,45,35,0.000012788,0.000009508
366437:8637,04/21/23 22:38:52,26,20,0.000007272,0.000005269
366438:8637,04/21/23 22:48:55,33,26,0.000009250,0.000007113
366439:8637,04/21/23 23:01:36,37,31,0.000010245,0.000008203
366440:8637,04/21/23 23:15:53,32,26,0.000008695,0.000006713
366441:8637,04/21/23 23:28:14,31,24,0.000008600,0.000006462
366442:8637,04/21/23 23:40:14,442,442,0.000121861,0.000120296
366449:8639,04/22/23 05:35:22,240,236,0.000200312,0.000191451
366450:8639,04/22/23 07:08:32,195,190,0.000188753,0.000167867
366451:8639,04/22/23 08:24:11,1295,1295,0.000925675,0.000875872
366469:8642,04/22/23 22:29:16,1099,1085,0.009311099,0.008055757
366470:8642,04/23/23 05:36:09,103,6,0.000893192,0.000000064
366471:8642,04/23/23 06:16:07,157,157,0.001224021,0.000988114
366494:8644,04/23/23 13:49:23,140,123,0.001011155,0.000672811
366495:8644,04/23/23 14:43:45,386,373,0.004276681,0.003289793
366496:8644,04/23/23 17:13:44,60,52,0.000641624,0.000366580
366497:8644,04/23/23 17:36:55,358,350,0.003319126,0.002822913
366498:8644,04/23/23 19:55:39,128,111,0.001077447,0.000557055
366499:8644,04/23/23 20:45:08,489,470,0.003566371,0.003070871
366500:8644,04/23/23 23:55:00,78,78,0.000449086,0.000399231
366504:8645,04/24/23 02:32:06,1643,1643,0.014504124,0.012891757
366533:8654,04/25/23 03:42:10,165,165,0.001264610,0.001005315
366724:8675,04/27/23 23:50:24,63,30,0.001910276,0.000575907
366727:8675,04/28/23 00:14:39,253,244,0.017194033,0.015421440
366728:8675,04/28/23 01:52:43,92,83,0.003618774,0.002546819
366729:8675,04/28/23 02:28:26,426,419,0.028740629,0.027017284
366793:8685,04/29/23 09:43:19,75,64,0.002306690,0.001581514
366794:8685,04/29/23 10:12:11,143,125,0.007516758,0.006292524
366795:8685,04/29/23 11:07:36,106,97,0.007997339,0.006936142
366797:8685,04/29/23 11:48:34,76,68,0.005777222,0.005007404
366798:8685,04/29/23 12:17:55,136,111,0.009750749,0.007859645
366800:8685,04/29/23 13:10:40,101,94,0.003767608,0.002915641
366801:8685,04/29/23 13:49:49,436,429,0.026312859,0.024097700
366802:8685,04/29/23 16:38:53,35,22,0.001903572,0.001094793
366804:8685,04/29/23 16:52:11,156,156,0.007685549,0.007375855
366820:8686,04/29/23 20:16:33,379,374,0.024427065,0.021794336
366821:8686,04/29/23 22:43:29,975,975,0.057550796,0.053673741
366829:8690,04/30/23 10:56:00,235,216,0.014458894,0.011773899
366832:8690,04/30/23 12:27:18,276,258,0.021570756,0.018059364
366833:8690,04/30/23 14:14:16,630,630,0.034974632,0.032593142
366838:8691,04/30/23 20:24:25,120,114,0.007368459,0.006139881
366839:8691,04/30/23 21:10:53,15,8,0.001156863,0.000333469
366840:8691,04/30/23 21:16:27,191,184,0.014991436,0.011906859
366841:8691,04/30/23 22:30:41,270,269,0.018357302,0.016438496
366850:8692,05/01/23 03:02:13,164,155,0.009618797,0.008656006
366873:8695,05/01/23 13:19:49,379,353,0.056981230,0.048417700
366874:8695,05/01/23 15:46:51,587,567,0.088418519,0.082292733
366876:8695,05/01/23 19:34:53,268,268,0.031795060,0.030986248
366891:8696,05/02/23 00:15:20,238,234,0.034720949,0.029364727
366892:8696,05/02/23 01:47:45,12,8,0.002221194,0.000002018
366893:8696,05/02/23 01:52:21,26,11,0.004758321,0.000001050
366895:8696,05/02/23 02:02:15,1498,1498,0.196147853,0.188213570
366933:8701,05/03/23 02:55:37,1208,1208,0.203889012,0.190697824
367062:8723,05/05/23 13:38:14,33,26,0.001530794,0.000575202
367063:8723,05/05/23 13:50:58,21,15,0.001070794,0.000638263
367064:8723,05/05/23 13:58:54,490,485,0.036724032,0.031742715
367065:8723,05/05/23 17:09:08,271,271,0.018615532,0.016766539
367070:8724,05/05/23 22:58:17,379,372,0.063660143,0.051568787
367071:8724,05/06/23 01:25:13,41,34,0.008118332,0.004865677
367072:8724,05/06/23 01:40:55,89,75,0.016782618,0.011942502
367079:8725,05/06/23 05:51:04,721,721,0.129513643,0.120329914
367094:8728,05/06/23 13:22:21,18,0,0.002527305,0
367095:8728,05/06/23 13:29:02,602,578,0.116447889,0.109719820
367100:8729,05/06/23 20:08:58,354,347,0.071014530,0.065288522
367101:8729,05/06/23 22:26:25,7,1,0.001518058,0.000003251
367102:8729,05/06/23 22:28:48,86,75,0.018718668,0.015104964
367103:8729,05/06/23 23:02:02,76,65,0.016619566,0.012835598
367104:8729,05/06/23 23:31:30,1086,1086,0.191073558,0.183179606
367111:8730,05/07/23 09:23:37,299,290,0.057857363,0.051722164
367112:8730,05/07/23 11:19:36,1446,1446,0.255769976,0.244262551
367127:8731,05/07/23 22:42:10,341,334,0.101621123,0.092375477
367128:8731,05/08/23 00:54:20,20,15,0.006866116,0.003367549
367129:8731,05/08/23 01:01:54,10,6,0.003359917,0.001075579
367130:8731,05/08/23 01:05:47,172,167,0.049418138,0.043607956
367131:8731,05/08/23 02:12:34,152,149,0.040351689,0.037709424
367132:8731,05/08/23 03:11:22,4,1,0.001192987,0.000020405
367133:8731,05/08/23 03:12:46,360,333,0.092429461,0.079297547
367134:8731,05/08/23 05:32:16,113,113,0.012880272,0.012363341
